Neighbourhood,Hood_ID,MLS_District
Yonge-St.Clair,97,Toronto C02
York University Heights,27,Toronto W05
Lansing-Westgate,38,Toronto C07
Yorkdale-Glen Park,31,Toronto W04
Stonegate-Queensway,16,Toronto W07
Tam O'Shanter-Sullivan,118,Toronto E05
The Beaches,63,Toronto E02
Thistletown-Beaumond Heights,3,Toronto W10
Thorncliffe Park,55,Toronto C11
Danforth East York,59,Toronto E01
Humewood-Cedarvale,106,Toronto C03
Islington-City Centre West,14,Toronto W08
Danforth,66,Toronto E01
Rustic,28,Toronto W04
Scarborough Village,139,Toronto E08
South Parkdale,85,Toronto W01
South Riverdale,70,Toronto E01
St.Andrew-Windfields,40,Toronto C12
Taylor-Massey,61,Toronto E04
Humber Summit,21,Toronto W05
Humbermede,22,Toronto W05
Centennial Scarborough,133,Toronto E10
Church-Yonge Corridor,75,Toronto C02
Clairlea-Birchmount,120,Toronto E04
Cliffcrest,123,Toronto E08
Flemingdon Park,44,Toronto C11
Corso Italia-Davenport,92,Toronto W03
Ionview,125,Toronto E04
Junction Area,90,Toronto W02
Broadview North,57,Toronto E03
Princess-Rosethorn,10,Toronto W08
North Riverdale,68,Toronto E01
Etobicoke West Mall,13,Toronto W08
Forest Hill North,102,Toronto C04
Glenfield-Jane Heights,25,Toronto W05
Greenwood-Coxwell,65,Toronto E01
Guildwood,140,Toronto E08
Trinity-Bellwoods,81,Toronto C01
Victoria Village,43,Toronto C13
Waterfront Communities-The Island,77,Toronto C01
West Hill,136,Toronto E10
West Humber-Clairville,1,Toronto W10
Westminster-Branson,35,Toronto C07
Kennedy Park,124,Toronto E04
Kingsview Village-The Westway,6,Toronto W09
Bayview Woods-Steeles,49,Toronto C15
Clanton Park,33,Toronto C06
Keelesdale-Eglinton West,110,Toronto W03
O'Connor-Parkview,54,Toronto E03
Old East York,58,Toronto E03
Casa Loma,96,Toronto C02
Kensington-Chinatown,78,Toronto C01
Kingsway South,15,Toronto W08
Runnymede-Bloor West Village,89,Toronto W02
Forest Hill South,101,Toronto C03
Henry Farm,53,Toronto C15
Annex,95,Toronto C02
Caledonia-Fairbank,109,Toronto W03
Humber Heights-Westmount,8,Toronto W09
Roncesvalles,86,Toronto W01
University,79,Toronto C01
Hillcrest Village,48,Toronto C15
Mount Dennis,115,Toronto W04
Dorset Park,126,Toronto E04
Edenbridge-Humber Valley,9,Toronto W08
Dovercourt-Wallace Emerson-Junction,93,Toronto W02
Newtonbrook West,36,Toronto C07
Niagara,82,Toronto C01
Beechborough-Greenbrook,112,Toronto W04
High Park North,88,Toronto W02
High Park-Swansea,87,Toronto W01
Highland Creek,134,Toronto E10
North St.James Town,74,Toronto W10
Oakridge,121,Toronto E06
Rosedale-Moore Park,98,Toronto C09
Oakwood Village,107,Toronto C03
Wexford/Maryvale,119,Toronto E04
Eglinton East,138,Toronto E08
Elms-Old Rexdale,5,Toronto W10
Agincourt North,129,Toronto E07
Agincourt South-Malvern West,128,Toronto E07
Englemount-Lawrence,32,Toronto C04
Eringate-Centennial-West Deane,11,Toronto W08
L'Amoreaux,117,Toronto E05
Banbury-Don Mills,42,Toronto C13
Bathurst Manor,34,Toronto C06
Alderwood,20,Toronto W06
Regent Park,72,Toronto C08
Bendale,127,Toronto E09
Birchcliffe-Cliffside,122,Toronto E06
Weston-Pellam Park,91,Toronto W03
Downsview-Roding-CFB,26,Toronto W05
Lambton Baby Point,114,Toronto W02
Bay Street Corridor,76,Toronto C01
Black Creek,24,Toronto W05
Willowdale East,51,Toronto C14
Willowdale West,37,Toronto C07
Rouge,131,Toronto E11
Mount Olive-Silverstone-Jamestown,2,Toronto W10
Cabbagetown-South St.James Town,71,Toronto C08
Mount Pleasant East,99,Toronto C10
Mount Pleasant West,104,Toronto C10
Blake-Jones,69,Toronto E01
Rexdale-Kipling,4,Toronto W10
East End-Danforth,62,Toronto E02
New Toronto,18,Toronto W06
Palmerston-Little Italy,80,Toronto C01
Parkwoods-Donalda,45,Toronto C13
Pelmo Park-Humberlea,23,Toronto W04
Playter Estates-Danforth,67,Toronto E03
Willowridge-Martingrove-Richview,7,Toronto W09
Woburn,137,Toronto E09
Woodbine-Lumsden,60,Toronto E03
Bayview Village,52,Toronto C15
Bedford Park-Nortown,39,Toronto C04
Rockcliffe-Smythe,111,Toronto W03
Bridle Path-Sunnybrook-York Mills,41,Toronto C12
Don Valley Village,47,Toronto C15
Weston,113,Toronto W03
Lawrence Park South,103,Toronto C04
Brookhaven-Amesbury,30,Toronto W04
Long Branch,19,Toronto W06
Malvern,132,Toronto E11
Dufferin Grove,83,Toronto C01
Maple Leaf,29,Toronto W04
Markland Wood,12,Toronto W08
Steeles,116,Toronto E05
Lawrence Park North,105,Toronto C04
Yonge-Eglinton,100,Toronto C03
Mimico,17,Toronto W06
Morningside,135,Toronto E09
Moss Park,73,Toronto C08
Little Portugal,84,Toronto C01
Woodbine Corridor,64,Toronto E02
Newtonbrook East,50,Toronto C11
Milliken,130,Toronto E07
Pleasant View,46,Toronto C15
Wychwood,94,Toronto C02
Leaside-Bennington,56,Toronto C11
Briar Hill-Belgravia,108,Toronto W04